Name,Handedness,Date,Team,Opp,GS,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
Clayton Kershaw,L,2016-05-17,LAD,LAA,1,1,0,1.13,1,1,0,0,0,0,0,8.0,28,4,1,1,0,0,0,0,0,1,11,87
Clayton Kershaw,L,2016-05-12,LAD,NYM,1,1,0,0.00,1,1,1,1,0,0,0,9.0,30,3,0,0,0,1,0,0,0,1,13,98
Clayton Kershaw,L,2016-05-07,LAD,@TOR,1,1,0,2.57,1,1,0,0,0,0,0,7.0,26,8,2,2,0,0,0,0,0,0,10,69
Clayton Kershaw,L,2016-05-01,LAD,SDP,1,1,0,0.00,1,1,1,1,0,0,0,9.0,29,3,0,0,0,0,0,0,0,0,14,101
Clayton Kershaw,L,2016-04-26,LAD,MIA,1,0,1,6.43,1,1,0,0,0,0,0,7.0,29,7,5,5,1,0,0,1,0,0,10,56
Clayton Kershaw,L,2016-04-21,LAD,@ATL,1,0,0,1.13,1,1,0,0,0,0,0,8.0,32,10,1,1,0,1,0,0,0,0,10,72
Clayton Kershaw,L,2016-04-15,LAD,SFG,1,1,0,2.57,1,1,0,0,0,0,0,7.0,27,5,3,2,0,0,0,0,2,0,6,68
Clayton Kershaw,L,2016-04-09,LAD,@SFG,1,0,0,2.25,1,1,0,0,0,0,0,8.0,29,4,2,2,2,1,0,0,0,0,5,64
Clayton Kershaw,L,2016-04-04,LAD,@SDP,1,1,0,0.00,1,1,0,0,0,0,0,7.0,23,1,0,0,0,1,0,0,0,0,9,86
Clayton Kershaw,L,2015-10-04,LAD,SDP,1,0,0,0.00,1,1,0,0,0,0,0,3.2,13,2,0,0,0,0,0,0,0,0,7,63
Clayton Kershaw,L,2015-09-29,LAD,@SFG,1,1,0,0.00,1,1,1,1,0,0,0,9.0,29,1,0,0,0,1,0,0,1,0,13,101
Clayton Kershaw,L,2015-09-24,LAD,ARI,1,1,0,5.40,1,1,0,0,0,0,0,5.0,22,6,3,3,1,1,0,0,0,0,9,48
Clayton Kershaw,L,2015-09-19,LAD,PIT,1,0,1,3.86,1,1,0,0,0,0,0,7.0,28,7,3,3,0,2,0,0,1,0,8,61
Clayton Kershaw,L,2015-09-14,LAD,COL,1,1,0,1.29,1,1,0,0,0,0,0,7.0,25,3,1,1,0,2,0,0,0,0,5,72
Clayton Kershaw,L,2015-09-08,LAD,@LAA,1,1,0,1.29,1,1,0,0,0,0,0,7.0,28,4,2,1,1,2,0,0,0,1,8,64
Clayton Kershaw,L,2015-09-02,LAD,SFG,1,1,0,1.00,1,1,1,0,0,0,0,9.0,32,6,1,1,0,1,0,0,0,0,15,90
Clayton Kershaw,L,2015-08-28,LAD,CHC,1,1,0,1.13,1,1,0,0,0,0,0,8.0,28,3,1,1,1,1,0,0,0,0,14,83
Clayton Kershaw,L,2015-08-23,LAD,@HOU,1,0,0,1.13,1,1,0,0,0,0,0,8.0,29,7,1,1,0,0,0,0,0,0,10,79
Clayton Kershaw,L,2015-08-18,LAD,@OAK,1,0,0,1.29,1,1,0,0,0,0,0,7.0,29,5,1,1,0,2,0,0,0,0,7,70
Clayton Kershaw,L,2015-08-12,LAD,WSN,1,1,0,0.00,1,1,0,0,0,0,0,8.0,27,3,0,0,0,0,0,0,0,0,8,88
Clayton Kershaw,L,2015-08-07,LAD,@PIT,1,0,0,6.00,1,1,0,0,0,0,0,6.0,28,9,4,4,1,2,0,1,1,0,5,39
Clayton Kershaw,L,2015-08-01,LAD,LAA,1,1,0,0.00,1,1,0,0,0,0,0,8.0,26,2,0,0,0,1,0,0,0,0,7,87
Clayton Kershaw,L,2015-07-23,LAD,@NYM,1,1,0,0.00,1,1,1,1,0,0,0,9.0,29,3,0,0,0,0,0,0,0,0,11,97
Clayton Kershaw,L,2015-07-18,LAD,@WSN,1,1,0,0.00,1,1,0,0,0,0,0,8.0,27,3,0,0,0,0,0,0,0,0,14,94
Clayton Kershaw,L,2015-07-08,LAD,PHI,1,1,0,0.00,1,1,1,1,0,0,0,9.0,36,8,0,0,0,0,0,1,1,0,13,89
Clayton Kershaw,L,2015-07-03,LAD,NYM,1,0,0,1.29,1,1,0,0,0,0,0,7.0,28,5,1,1,0,2,0,0,1,0,7,70
Clayton Kershaw,L,2015-06-27,LAD,@MIA,1,0,1,1.29,1,1,0,0,0,0,0,7.0,27,7,3,1,0,0,0,0,1,0,9,66
Clayton Kershaw,L,2015-06-22,LAD,@CHC,1,0,1,3.86,1,1,0,0,0,0,0,7.0,27,4,3,3,2,2,0,0,0,0,9,56
Clayton Kershaw,L,2015-06-17,LAD,TEX,1,0,1,4.50,1,1,0,0,0,0,0,6.0,23,5,4,3,1,1,0,0,0,1,10,54
Clayton Kershaw,L,2015-06-12,LAD,@SDP,1,0,0,1.35,1,1,0,0,0,0,0,6.2,27,4,1,1,1,3,0,0,0,0,11,66
Clayton Kershaw,L,2015-06-06,LAD,STL,1,1,0,0.00,1,1,0,0,0,0,0,8.0,27,1,0,0,0,2,0,1,0,0,11,91
Clayton Kershaw,L,2015-06-01,LAD,@COL,1,1,0,2.57,1,1,0,0,0,0,0,7.0,27,5,2,2,1,1,0,0,0,0,7,63
Clayton Kershaw,L,2015-05-26,LAD,ATL,1,1,0,0.00,1,1,0,0,0,0,0,7.0,25,4,0,0,0,0,0,0,1,0,10,82
Clayton Kershaw,L,2015-05-21,LAD,@SFG,1,0,1,4.91,1,1,0,0,0,0,0,7.1,31,7,4,4,1,2,0,1,0,0,7,53
Clayton Kershaw,L,2015-05-15,LAD,COL,1,1,0,4.05,1,1,0,0,0,0,0,6.2,27,4,3,3,0,3,0,0,1,0,10,65
Clayton Kershaw,L,2015-05-10,LAD,@COL,1,0,0,7.94,1,1,0,0,0,0,0,5.2,29,8,5,5,0,4,1,0,0,0,5,38
Clayton Kershaw,L,2015-05-04,LAD,@MIL,1,0,0,3.68,1,1,0,0,0,0,0,7.1,27,5,3,3,1,0,0,0,0,1,8,65
Clayton Kershaw,L,2015-04-28,LAD,SFG,1,0,1,2.57,1,1,0,0,0,0,0,7.0,27,7,2,2,1,0,0,0,0,0,8,62
Clayton Kershaw,L,2015-04-22,LAD,@SFG,1,0,0,3.00,1,1,0,0,0,0,0,6.0,21,3,2,2,0,1,0,0,0,0,9,69
Clayton Kershaw,L,2015-04-17,LAD,COL,1,1,0,1.50,1,1,0,0,0,0,0,6.0,25,6,3,1,2,1,0,0,1,0,12,51
Clayton Kershaw,L,2015-04-11,LAD,@ARI,1,0,1,7.11,1,1,0,0,0,0,0,6.1,30,10,6,5,1,3,0,0,0,0,5,31
Clayton Kershaw,L,2015-04-06,LAD,SDP,1,0,0,4.50,1,1,0,0,0,0,0,6.0,26,6,3,3,0,2,0,1,0,0,9,58
Clayton Kershaw,L,2014-09-24,LAD,SFG,1,1,0,1.13,1,1,0,0,0,0,0,8.0,31,7,1,1,0,0,0,0,1,1,11,78
Clayton Kershaw,L,2014-09-19,LAD,@CHC,1,1,0,5.40,1,1,0,0,0,0,0,5.0,25,7,3,3,0,3,0,1,0,0,9,46
Clayton Kershaw,L,2014-09-14,LAD,@SFG,1,1,0,2.25,1,1,0,0,0,0,0,8.0,31,7,2,2,0,1,0,0,0,0,9,71
Clayton Kershaw,L,2014-09-08,LAD,SDP,1,1,0,1.13,1,1,0,0,0,0,0,8.0,29,3,3,1,0,2,0,0,0,0,8,73
Clayton Kershaw,L,2014-09-02,LAD,WSN,1,1,0,1.13,1,1,0,0,0,0,0,8.0,29,3,1,1,1,2,0,0,0,0,8,73
Clayton Kershaw,L,2014-08-27,LAD,@ARI,1,1,0,0.00,1,1,0,0,0,0,0,8.0,32,6,1,0,0,2,0,0,0,0,10,75
Clayton Kershaw,L,2014-08-21,LAD,SDP,1,1,0,1.13,1,1,0,0,0,0,0,8.0,28,3,1,1,0,2,0,0,1,0,10,81
Clayton Kershaw,L,2014-08-16,LAD,MIL,1,0,1,3.00,1,1,1,0,0,0,0,9.0,32,5,3,3,2,0,0,0,0,0,11,70
Clayton Kershaw,L,2014-08-10,LAD,@MIL,1,1,0,1.13,1,1,0,0,0,0,0,8.0,29,6,1,1,0,2,0,0,1,0,6,71
Clayton Kershaw,L,2014-08-05,LAD,LAA,1,0,0,3.86,1,1,0,0,0,0,0,7.0,28,7,3,3,0,2,0,0,0,0,7,58
Clayton Kershaw,L,2014-07-31,LAD,ATL,1,1,0,1.00,1,1,1,0,0,0,0,9.0,32,9,1,1,0,0,0,0,0,0,9,78
Clayton Kershaw,L,2014-07-26,LAD,@SFG,1,1,0,0.00,1,1,1,1,0,0,0,9.0,30,3,0,0,0,1,0,0,0,0,7,89
Clayton Kershaw,L,2014-07-20,LAD,@STL,1,0,0,3.86,1,1,0,0,0,0,0,7.0,27,6,3,3,1,1,0,1,0,0,8,57
Clayton Kershaw,L,2014-07-10,LAD,SDP,1,1,0,1.00,1,1,1,0,0,0,0,9.0,31,3,1,1,1,1,0,0,0,0,11,84
Clayton Kershaw,L,2014-07-04,LAD,@COL,1,1,0,0.00,1,1,0,0,0,0,0,8.0,27,2,0,0,0,1,0,0,0,0,8,86
Clayton Kershaw,L,2014-06-29,LAD,STL,1,1,0,0.00,1,1,0,0,0,0,0,7.0,28,5,0,0,0,2,0,0,0,0,13,77
Clayton Kershaw,L,2014-06-24,LAD,@KCR,1,1,0,0.00,1,1,0,0,0,0,0,8.0,30,6,0,0,0,1,0,0,1,0,8,78
Clayton Kershaw,L,2014-06-18,LAD,COL,1,1,0,0.00,1,1,1,1,0,0,0,9.0,28,0,0,0,0,0,0,0,0,0,15,105
Clayton Kershaw,L,2014-06-13,LAD,ARI,1,1,0,1.29,1,1,0,0,0,0,0,7.0,30,8,1,1,0,1,0,0,1,0,7,64
Clayton Kershaw,L,2014-06-08,LAD,@COL,1,1,0,1.80,1,1,1,0,0,0,0,5.0,18,3,1,1,1,0,0,0,0,0,9,60
Clayton Kershaw,L,2014-06-02,LAD,CHW,1,1,0,2.25,1,1,0,0,0,0,0,8.0,28,4,2,2,1,0,0,0,0,0,9,73
Clayton Kershaw,L,2014-05-28,LAD,CIN,1,0,1,3.86,1,1,0,0,0,0,0,7.0,29,7,3,3,1,1,0,0,1,0,9,56
Clayton Kershaw,L,2014-05-23,LAD,@PHI,1,1,0,0.00,1,1,0,0,0,0,0,6.0,23,2,0,0,0,3,0,0,0,0,9,71
Clayton Kershaw,L,2014-05-17,LAD,@ARI,1,0,1,37.80,1,1,0,0,0,0,0,1.2,13,6,7,7,0,2,0,0,0,1,3,12
Clayton Kershaw,L,2014-05-11,LAD,SFG,1,0,0,3.86,1,1,0,0,0,0,0,7.0,26,7,3,3,1,0,0,0,0,0,9,58
Clayton Kershaw,L,2014-05-06,LAD,@WSN,1,1,0,0.00,1,1,0,0,0,0,0,7.0,28,9,0,0,0,0,0,0,0,0,9,69
Clayton Kershaw,L,2014-03-22,LAD,@ARI,1,1,0,1.35,1,1,0,0,0,0,0,6.2,27,5,1,1,0,1,0,0,1,0,7,68
Clayton Kershaw,L,2013-09-27,LAD,COL,1,1,0,0.00,1,1,0,0,0,0,0,6.0,21,4,0,0,0,0,0,0,0,0,8,73
Clayton Kershaw,L,2013-09-21,LAD,@SDP,1,1,0,0.00,1,1,0,0,0,0,0,7.0,25,3,0,0,0,2,0,0,1,0,10,79
Clayton Kershaw,L,2013-09-13,LAD,SFG,1,0,1,2.57,1,1,0,0,0,0,0,7.0,28,8,3,2,0,0,0,0,1,0,6,60
Clayton Kershaw,L,2013-09-08,LAD,@CIN,1,0,0,2.57,1,1,0,0,0,0,0,7.0,29,4,2,2,2,3,0,2,0,1,7,54
Clayton Kershaw,L,2013-09-02,LAD,@COL,1,1,0,9.00,1,1,0,0,0,0,0,5.0,26,11,5,5,0,1,0,0,0,0,4,32
Clayton Kershaw,L,2013-08-27,LAD,CHC,1,0,1,1.59,1,1,0,0,0,0,0,5.2,28,7,2,1,0,3,0,0,1,0,9,54
Clayton Kershaw,L,2013-08-22,LAD,@MIA,1,1,0,0.00,1,1,0,0,0,0,0,8.0,29,5,0,0,0,3,0,0,1,0,6,75
Clayton Kershaw,L,2013-08-17,LAD,@PHI,1,1,0,0.00,1,1,0,0,0,0,0,8.0,27,3,0,0,0,1,0,0,1,0,8,85
Clayton Kershaw,L,2013-08-11,LAD,TBR,1,1,0,1.13,1,1,0,0,0,0,0,8.0,30,3,2,1,0,2,0,0,0,0,8,77
Clayton Kershaw,L,2013-08-06,LAD,@STL,1,0,1,3.00,1,1,0,0,0,0,0,6.0,24,6,2,2,0,2,0,0,0,0,5,56
Clayton Kershaw,L,2013-07-31,LAD,NYY,1,0,0,0.00,1,1,0,0,0,0,0,8.0,28,5,0,0,0,0,0,0,0,0,5,80
Clayton Kershaw,L,2013-07-26,LAD,CIN,1,1,0,1.13,1,1,0,0,0,0,0,8.0,29,6,1,1,0,0,0,0,1,0,8,78
Clayton Kershaw,L,2013-07-21,LAD,@WSN,1,1,0,2.57,1,1,0,0,0,0,0,7.0,24,2,2,2,2,0,0,0,1,0,9,66
Clayton Kershaw,L,2013-07-12,LAD,COL,1,0,1,3.86,1,1,0,0,0,0,0,7.0,28,6,3,3,0,1,0,0,0,0,10,66
Clayton Kershaw,L,2013-07-07,LAD,@SFG,1,1,0,1.13,1,1,0,0,0,0,0,8.0,28,3,1,1,0,1,0,1,1,0,3,77
Clayton Kershaw,L,2013-07-02,LAD,@COL,1,1,0,0.00,1,1,1,1,0,0,0,9.0,31,4,0,0,0,0,0,0,0,0,8,91
Clayton Kershaw,L,2013-06-26,LAD,SFG,1,1,0,2.25,1,1,0,0,0,0,0,8.0,29,4,2,2,1,1,0,0,0,0,7,70
Clayton Kershaw,L,2013-06-21,LAD,@SDP,1,0,1,6.00,1,1,0,0,0,0,0,6.0,26,7,4,4,1,1,0,0,0,0,7,46
Clayton Kershaw,L,2013-06-15,LAD,@PIT,1,0,0,1.29,1,1,0,0,0,0,0,7.0,28,3,1,1,0,3,0,0,0,0,8,72
Clayton Kershaw,L,2013-06-10,LAD,ARI,1,0,0,1.29,1,1,0,0,0,0,0,7.0,28,6,1,1,0,2,0,0,1,0,5,65
