Matt Szczur	statsd.aspx?playerid=11255&position=OF
Justin Morneau	statsd.aspx?playerid=1737&position=1B
Adam Rosales	statsd.aspx?playerid=9682&position=2B/3B/SS
Todd Hollandsworth	statsd.aspx?playerid=433&position=OF
Jarrod Patterson	statsd.aspx?playerid=486&position=3B
Omar Quintanilla	statsd.aspx?playerid=6335&position=2B/SS
Ray Sadler	statsd.aspx?playerid=2914&position=OF
Darwin Barney	statsd.aspx?playerid=2430&position=2B
Francisco Peguero	statsd.aspx?playerid=5496&position=OF
Hanley Ramirez	statsd.aspx?playerid=8001&position=SS
Ben Paulsen	statsd.aspx?playerid=9741&position=1B
Dane Sardinha	statsd.aspx?playerid=353&position=C
Colin Moran	statsd.aspx?playerid=16909&position=3B
Joe Mauer	statsd.aspx?playerid=1857&position=C/1B
Conor Gillaspie	statsd.aspx?playerid=9009&position=3B
Danny Garcia	statsd.aspx?playerid=1819&position=2B
Josh Bell	statsd.aspx?playerid=2510&position=3B
Jason Coats	statsd.aspx?playerid=14282&position=OF
Orlando Hudson	statsd.aspx?playerid=1307&position=2B
Rey Ordonez	statsd.aspx?playerid=889&position=SS
Casey Kotchman	statsd.aspx?playerid=1930&position=1B
Chad Meyers	statsd.aspx?playerid=1787&position=2B/OF
Wes Helms	statsd.aspx?playerid=94&position=1B/3B
Jason Giambi	statsd.aspx?playerid=818&position=1B/DH
Juan Castro	statsd.aspx?playerid=315&position=SS
Josh Vitters	statsd.aspx?playerid=4623&position=3B
Darrin Fletcher	statsd.aspx?playerid=1302&position=C
Logan Morrison	statsd.aspx?playerid=9205&position=1B/OF
Josh Kroeger	statsd.aspx?playerid=2205&position=OF
Paul Goldschmidt	statsd.aspx?playerid=9218&position=1B
Danny Ardoin	statsd.aspx?playerid=585&position=C
Eduardo Perez	statsd.aspx?playerid=1409&position=1B
Jose Vizcaino	statsd.aspx?playerid=577&position=2B/SS
Will Venable	statsd.aspx?playerid=211&position=OF
Ryan Budde	statsd.aspx?playerid=3768&position=C
Ryan Klesko	statsd.aspx?playerid=1041&position=1B/OF
John Rodriguez	statsd.aspx?playerid=2338&position=OF
Erisbel Arruebarrena	statsd.aspx?playerid=15809&position=SS
Eddy Rodriguez	statsd.aspx?playerid=6870&position=C
Cesar Puello	statsd.aspx?playerid=7216&position=OF
Miguel Perez	statsd.aspx?playerid=3262&position=C
Chris Latham	statsd.aspx?playerid=882&position=OF
David Dahl	statsd.aspx?playerid=13744&position=OF
Boog Powell	statsd.aspx?playerid=15103&position=DH/OF
Matt Kemp	statsd.aspx?playerid=5631&position=OF
Orlando Palmeiro	statsd.aspx?playerid=28&position=OF
David Segui	statsd.aspx?playerid=169&position=1B
Nolan Arenado	statsd.aspx?playerid=9777&position=3B
Ronald Torreyes	statsd.aspx?playerid=11400&position=2B/3B
Mark Johnson	statsd.aspx?playerid=240&position=C
Yoan Moncada	statsd.aspx?playerid=17232&position=2B
Bucky Jacobsen	statsd.aspx?playerid=2368&position=1B/DH
James Loney	statsd.aspx?playerid=4556&position=1B
Travis Tartamella	statsd.aspx?playerid=6748&position=C
Joe DePastino	statsd.aspx?playerid=1792&position=C
Jeff Kobernus	statsd.aspx?playerid=9591&position=OF
Lucas Duda	statsd.aspx?playerid=2502&position=1B/OF
Miguel Tejada	statsd.aspx?playerid=941&position=SS
Nevin Ashley	statsd.aspx?playerid=3274&position=C
Rymer Liriano	statsd.aspx?playerid=4779&position=OF
Rich Aurilia	statsd.aspx?playerid=1106&position=SS
Adam Moore	statsd.aspx?playerid=9362&position=C
J.D. Davis	statsd.aspx?playerid=16219&position=3B
Mike Rivera	statsd.aspx?playerid=493&position=C
Mike Lamb	statsd.aspx?playerid=1258&position=1B/3B
So Taguchi	statsd.aspx?playerid=1186&position=OF
Carlos Correa	statsd.aspx?playerid=14162&position=SS
Cole Figueroa	statsd.aspx?playerid=8790&position=2B
Bronson Sardinha	statsd.aspx?playerid=3585&position=OF
Ruben Sierra	statsd.aspx?playerid=1099&position=OF
Juan Francisco	statsd.aspx?playerid=6978&position=1B/3B
Dan Ortmeier	statsd.aspx?playerid=4694&position=1B/OF
Erik Kratz	statsd.aspx?playerid=4403&position=C
Tyler Holt	statsd.aspx?playerid=11391&position=OF
Kosuke Fukudome	statsd.aspx?playerid=3263&position=OF
Brent Dlugach	statsd.aspx?playerid=8273&position=3B/SS
Gil Velazquez	statsd.aspx?playerid=2070&position=3B
Jeff Liefer	statsd.aspx?playerid=245&position=1B/OF
Kyle Farmer	statsd.aspx?playerid=14813&position=3B
Mike Fontenot	statsd.aspx?playerid=3912&position=2B
Ryder Jones	statsd.aspx?playerid=15982&position=1B/3B
Brent Butler	statsd.aspx?playerid=423&position=2B/3B
Jose Flores	statsd.aspx?playerid=1602&position=2B
Erik Gonzalez	statsd.aspx?playerid=13369&position=2B/SS
Geronimo Gil	statsd.aspx?playerid=142&position=C
Pedro Swann	statsd.aspx?playerid=1323&position=OF
